cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,kl_plugin,none,5.569639422758015e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,kl_split,none,0.002857014904116424
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,kl_crossfit,none,0.0028568710077279506
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900033,,gtest,none,1388.2823186347537
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,kl_plugin,none,0.0011831595515432135
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,kl_split,none,0.0007365122573468087
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,kl_crossfit,none,0.0018099919195192354
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,cf1_margin,none,0.03432198629367489
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,slack_plugin,none,0.06864397258734972
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900034,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,kl_plugin,none,1.1675994755732918e-05
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,kl_split,none,0.0002194497987388043
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,kl_crossfit,none,0.00016023272150874398
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,cf1_margin,none,0.0034168576568395226
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,slack_plugin,none,0.006833715313679045
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900035,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,kl_plugin,none,1.460819769243628e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,kl_split,none,0.004170201653200253
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,kl_crossfit,none,0.004164799837211042
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900036,,gtest,none,563.4172772751191
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900037,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,kl_plugin,none,0.0001859107901164012
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,kl_split,none,0.001540277112127987
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,kl_crossfit,none,0.001075860586702582
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,cf1_margin,none,0.01363175169138886
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,slack_plugin,none,0.02726350338277761
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900038,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,kl_plugin,none,0.0006687321072113596
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,kl_split,none,0.005097816082538162
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,kl_crossfit,none,0.003917519931360455
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,cf1_margin,none,0.025845392798998335
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,slack_plugin,none,0.051690785597996725
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900039,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,kl_split,none,0.008902092841634825
2-2-4,A3_bursty_u_on_y,t3,2000,900040,,kl_crossfit,none,0.008902092841634825
